claim,evidence,label
The Promise premiered in Toronto.,"The film premiered on September 11 , 2016 , at the Toronto International Film Festival and was released in the United States on April 21 , 2017 , by Open Road Films . Open Road Films Open Road Films Toronto International Film Festival 2016 Toronto International Film Festival",SUPPORTS
John Adams was a political cartoonist.,,NEI
Jesse Eisenberg worked with Q-Tip and gained success.,,NEI
Tupac Shakur was inducted into a place that recognizes people that has influence on the development of rock after year 2016.,"On April 7 , 2017 , Shakur was inducted into the Rock and Roll Hall of Fame . Rock and Roll Hall of Fame Rock and Roll Hall of Fame Since opening in September 1995 , the `` Rock Hall '' -- part of the city 's redeveloped North Coast Harbor -- has hosted more than 10 million visitors and had a cumulative economic impact estimated at more than $ 1.8 billion . North Coast Harbor North Coast Harbor",REFUTES
The German Shepherd is the third-most registered breed by the American Kennel Club.,The German Shepherd is the second-most registered breed by the American Kennel Club and fourth-most registered breed by The Kennel Club in the United Kingdom . American Kennel Club American Kennel Club The Kennel Club The Kennel Club,REFUTES
The characters in Grey's Anatomy try to maintain personal lives only.,"The series focuses on the fictional lives of surgical interns , residents and attending physicians , as they evolve into seasoned doctors while trying to maintain personal lives and relationships . residents residency (medicine) attending physicians attending physician",REFUTES
Felicity Huffman is in the series Bones.,,NEI
The Comedian stars an American actor.,"The film stars Robert De Niro , Leslie Mann , Danny DeVito , Edie Falco , Veronica Ferres , Charles Grodin , Cloris Leachman , Patti LuPone and Harvey Keitel . Robert De Niro Robert De Niro Leslie Mann Leslie Mann Danny DeVito Danny DeVito Edie Falco Edie Falco Veronica Ferres Veronica Ferres Charles Grodin Charles Grodin Cloris Leachman Cloris Leachman Patti LuPone Patti LuPone Harvey Keitel Harvey Keitel Daniel Michael DeVito , Jr. -LRB- born November 17 , 1944 -RRB- is an American actor , comedian , director and producer .",SUPPORTS
Kurupt is the stage name of Ricardo Emmanuel Brown which he adopted in 1992.,,NEI
Southport hosts an annual birthday party.,,NEI
Karan Johar won a Filmfare award for Best Director and Best Screenplay.,His counter-terrorism drama My Name Is Khan -LRB- 2010 -RRB- earned him his second Filmfare Award for Best Director . Best Director Filmfare Award for Best Director My Name Is Khan My Name Is Khan,SUPPORTS
Grand Theft Auto clone is a type of action-adventure genre.,"Grand Theft Auto clone is a subgenre of open world action-adventure video games , characterized by their likeness to the Grand Theft Auto series in either gameplay , or overall design . subgenre Video game genres open world open world action-adventure action-adventure game Grand Theft Auto Grand Theft Auto (video game) clone Video game clone",SUPPORTS
Jordan Spence does not play football.,Jordan James Spence -LRB- born 24 May 1990 -RRB- is an English footballer who plays for Ipswich Town . Ipswich Town Ipswich Town F.C. footballer association football,REFUTES
Sparta was the material of interest in the West.,,SUPPORTS
Tezaab became a golden jubilee in 2010.,Tezaab was critically acclaimed and garnered four Filmfare Awards from twelve nominations . Filmfare Awards Filmfare Awards,REFUTES
"Gerd von Rundstedt died February 24, 1953 from a car accident.",,NEI
Paul Pogba has been the winner of two Coppa Italia titles.,"In 2016 , Pogba was named to the 2015 UEFA Team of the Year as well as the 2015 FIFA FIFPro World XI , after helping Juventus to the 2015 UEFA Champions League Final . Juventus Juventus F.C. 2016 UEFA Euro 2016 2015 UEFA Team of the Year UEFA Team of the Year#Team of the Year 2015 2015 FIFA FIFPro World XI FIFPro#FIFA FIFPro World XI 2015 UEFA Champions League Final 2015 UEFA Champions League Final",SUPPORTS
Ratatouille is the fifth film produced by Pixar Animation Studios.,"It is the eighth film produced by Pixar and was co-written and directed by Brad Bird , who took over from Jan Pinkava in 2005 . Brad Bird Brad Bird Jan Pinkava Jan Pinkava Pixar Pixar Pixar -LRB- -LSB- ˈpɪksɑr -RSB- -RRB- , also referred to as Pixar Animation Studios , is an American computer animation film studio based in Emeryville , California that is a subsidiary of The Walt Disney Company . Emeryville Emeryville, California California California computer animation computer animation film studio film studio The Walt Disney Company The Walt Disney Company",REFUTES
Roger Moore was born in 1927 and died five years before 2017.,"Sir Roger George Moore , -LRB- -LSB- mɔər -RSB- 14 October 1927 -- 23 May 2017 -RRB- was an English actor .",REFUTES
Pink Floyd was inducted into the UK Music Hall of Fame in 1996.,,REFUTES
Jag had seasons.,"The first season was co-produced with NBC Productions . NBC Productions Universal Media Studios NBC NBC In total , 227 episodes were produced over 10 seasons .",SUPPORTS
Juana la virgen is a Venezuelan telenovela produced by RCTV.,Juana la Virgen -LRB- English : Juana the Virgin -RRB- is a 2002 Venezuelan telenovela written by Perla Farias and produced by RCTV . Perla Farias Perla Farias RCTV RCTV telenovela telenovela,SUPPORTS
Evonne Goolagong Cawley refuses to play tennis.,"Evonne Goolagong Cawley AO , MBE -LRB- born 31 July 1951 -RRB- is an Australian former World No. 1 tennis player . AO Order of Australia MBE Order of the British Empire tennis tennis She was one of the world 's leading players in the 1970s and early 1980s , during which she won 14 Grand Slam titles : seven in singles -LRB- four at the Australian Open , two at Wimbledon and one at the French Open -RRB- , six in women 's doubles , and one in mixed doubles . Grand Slam Grand Slam title Australian Open Australian Open Wimbledon Wimbledon Championships French Open French Open The Australian Open is a major tennis tournament held annually over the last fortnight of January in Melbourne , Australia . tennis tennis Melbourne Melbourne",REFUTES
Morgan Freeman won an Academy Award in the 21st century.,"Freeman won an Academy Award in 2005 for Best Supporting Actor with Million Dollar Baby -LRB- 2004 -RRB- , and he has received Oscar nominations for his performances in Street Smart -LRB- 1987 -RRB- , Driving Miss Daisy -LRB- 1989 -RRB- , The Shawshank Redemption -LRB- 1994 -RRB- and Invictus -LRB- 2009 -RRB- . Academy Award Academy Award Best Supporting Actor Academy Award for Best Supporting Actor Million Dollar Baby Million Dollar Baby Oscar Academy Awards#Oscar statuette Street Smart Street Smart (film) Driving Miss Daisy Driving Miss Daisy The Shawshank Redemption The Shawshank Redemption Invictus Invictus (film)",SUPPORTS
Marlon Brando was on a diet.,,NEI
San Francisco is sparsely populated.,"San Francisco is the fourth-most populous city in California , after Los Angeles , San Diego , and San Jose , and the 13th-most populous city in the United States -- with a census-estimated 2016 population of 870,887 . United States United States California California fourth-most populous city List of cities and towns in California Los Angeles Los Angeles San Diego San Diego San Jose San Jose, California 13th-most populous city List of United States cities by population",REFUTES
Andy Roddick and Brooklyn Decker are divorced.,,NEI
Harley Quinn appeared in American comic books published by DC Comics.,"The character was created by Paul Dini and Bruce Timm , and first appeared in Batman : The Animated Series in September 1992 . Paul Dini Paul Dini Bruce Timm Bruce Timm Batman Batman Batman is a fictional superhero appearing in American comic books published by DC Comics . DC Comics DC Comics superhero superhero Batman Batman (TV series)",SUPPORTS
Outlander features the Arab Spring.,,NEI
Aaron Paul directed Breaking Bad.,"Together with his former student Jesse Pinkman -LRB- Aaron Paul -RRB- , White turns to a life of crime , producing and selling crystallized methamphetamine to secure his family 's financial future before he dies , while navigating the dangers of the criminal world . Aaron Paul Aaron Paul Jesse Pinkman Jesse Pinkman methamphetamine methamphetamine Jesse Bruce Pinkman is a fictional character in Breaking Bad , played by Aaron Paul . Breaking Bad Breaking Bad Aaron Paul Aaron Paul fictional character fictional character",REFUTES
Sade (singer) is a band of zebras.,"With members Paul S. Denman , Andrew Hale , and Stuart Matthewman , she gained worldwide fame as the lead vocalist of the English band Sade . Sade Sade (band) Paul S. Denman Paul S. Denman Stuart Matthewman Stuart Matthewman",REFUTES
The OA is an HBO movie.,"The OA is an American mystery drama web television series with science fiction , supernatural , and fantasy elements , which debuted on Netflix on December 16 , 2016 . Netflix Netflix mystery Mystery film web television web television science fiction science fiction supernatural Supernatural fiction fantasy fantasy",REFUTES
Ilkhanate was ruled by the Mongol House of Hulagu.,"The Ilkhanate , also spelled Il-khanate -LRB- ایلخانان , Ilkhānān ; Хүлэгийн улс , Hulagu-yn Ulus -RRB- , was established as a khanate that formed the southwestern sector of the Mongol Empire , ruled by the Mongol House of Hulagu . Mongol Empire Mongol Empire khanate khanate Mongol Mongol",SUPPORTS
J. Howard Marshall was a businesswoman and student.,,NEI
Sully ignored the National Transportation Safety Board.,,NEI
Tanzania is a county.,"Tanzania -LSB- ˌtænzəˈniːə -RSB- , officially the United Republic of Tanzania -LRB- Jamhuri ya Muungano wa Tanzania -RRB- , is a country in Eastern Africa within the African Great Lakes region . Eastern Africa Eastern Africa African Great Lakes African Great Lakes",REFUTES
There is no term limit on the President of Iraq.,"The President is elected by the Council of Representatives by a two-thirds majority , and is limited to two four-year terms . limited Term limit",REFUTES
Google manufactures hardware.,"These include online advertising technologies , search , cloud computing , software , and hardware . online advertising online advertising search Web search engine cloud computing cloud computing software software hardware Computer hardware Google has also experimented with becoming an Internet carrier . Internet Internet Internet carrier Mobile network operator",SUPPORTS
"Charles Haley's middle name is Lewis, a name given to him at birth.",,NEI
Steven Spielberg is a father.,,NEI
Rachel McAdams was the basis for a character in Spotlight.,,NEI
